-PEND] has_pending: sensor=Notused3, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=Mib2_Cell_13, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=Mib2_Cell_4, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=SIM100_High_Uncertainty, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=Mib4_Cell_13, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=is_Main_N_Drive_On, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=SccA_String7Voltage, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=Mib0_Cell_9, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=Mib2_Cell_12, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.124] [MM2-PEND] has_pending: sensor=MainNeg, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.124] [MM2-PEND] has_pending: sensor=Mib4_Cell_10, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.124] [MM2-PEND] has_pending: sensor=Mib1_Cell_4, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.124] [MM2-PEND] has_pending: sensor=IPS_DCDCState2, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.124] [MM2-PEND] has_pending: sensor=IsolationResLow_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.124] [MM2-PEND] has_pending: sensor=SccA_Ch4FaultCount, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.124] [MM2-PEND] has_pending: sensor=SIM100_Vb_un, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.457] [MM2-PEND] has_pending: sensor=ContMainSense12V, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.457] [MM2-PEND] has_pending: sensor=Mib3_Cell_6, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.457] [MM2-PEND] has_pending: sensor=M3Therm3DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.457] [MM2-PEND] has_pending: sensor=Notused5, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.457] [MM2-PEND] has_pending: sensor=IPS_DCDCState4, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.457] [MM2-PEND] has_pending: sensor=TwoWayMotor, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.457] [MM2-PEND] has_pending: sensor=Mib3_Cell_1, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.457] [MM2-PEND] has_pending: sensor=Mib2_Cell_8, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.457] [MM2-PEND] has_pending: sensor=Mib5_Cell_1, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=SolarNeg, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=M1Therm3DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=RadBypassVoltage, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=SccA_ChrgCtrlOutputDischargeTime, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=VCU_IPS_CpDetect, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=VBulk, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=OBCAC_CHRGPOS, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=UI_TractionControlModeReq, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=SccA_String1OverVoltageFault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.458] [MM2-PEND] has_pending: sensor=is_Main_P_Drive_On, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=HV_PTC_Status, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=is_Main_N_Drive_On, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=M3Therm2DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=UI_MapLightLeftReq, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=motRtr_degC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=Mib0_Cell_13, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=CurrShuntProtocolFault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=Mib2_Cell_12, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=SIM100_No_New_Estimates, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=SccA_ReadyToCharge, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.459] [MM2-PEND] has_pending: sensor=SccA_ScState, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.460] [MM2-PEND] has_pending: sensor=Mib3_Cell_1, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.460] [MM2-PEND] has_pending: sensor=Inverter, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.460] [MM2-PEND] has_pending: sensor=Mib1_Cell_6, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.460] [MM2-PEND] has_pending: sensor=M3Therm3DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.460] [MM2-PEND] has_pending: sensor=BattPump_RealRPM, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.460] [MM2-PEND] has_pending: sensor=is_AC_Charge_2_Drive_On, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.793] [MM2-PEND] has_pending: sensor=PwrtPump_RESP_ERROR, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.793] [MM2-PEND] has_pending: sensor=VCU_IPS_DCDCVoltLvSet, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.793] [MM2-PEND] has_pending: sensor=SIM100_Vb, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.793] [MM2-PEND] has_pending: sensor=Mib1_Cell_015, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.793] [MM2-PEND] has_pending: sensor=Mib4_Cell_4, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.793] [MM2-PEND] has_pending: sensor=IPS_OBCHvDcVoltAct, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.794] [MM2-PEND] has_pending: sensor=SIM100_Vb, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.794] [MM2-PEND] has_pending: sensor=Open_Main_N_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.794] [MM2-PEND] has_pending: sensor=MinThermDegC_ID, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.794] [MM2-PEND] has_pending: sensor=HVIL_3_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.794] [MM2-PEND] has_pending: sensor=Hvsense_BATPOS_BATNEG_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.794] [MM2-PEND] has_pending: sensor=Mib1_Cell_3, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.794] [MM2-PEND] has_pending: sensor=Mib1_Cell_6, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.794] [MM2-PEND] has_pending: sensor=Mib3_Cell_0, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.794] [MM2-PEND] has_pending: sensor=dcuPwrReq, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.795] [MM2-PEND] has_pending: sensor=HV_PTC_Master_Min, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.795] [MM2-PEND] has_pending: sensor=is_SRS_Pyrofuse_Ignited, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.795] [MM2-PEND] has_pending: sensor=Mib2_Cell_5, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.795] [MM2-PEND] has_pending: sensor=UI_VehicleModeReq, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.795] [MM2-PEND] has_pending: sensor=Mib5_Cell_2, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.796] [MM2-PEND] has_pending: sensor=Notused5, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.796] [MM2-PEND] has_pending: sensor=SIM100_Vn_un, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.796] [MM2-PEND] has_pending: sensor=Mib4_Cell_5, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.796] [MM2-PEND] has_pending: sensor=isMainContactorClose_req, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.796] [MM2-PEND] has_pending: sensor=M4Therm1DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.796] [MM2-PEND] has_pending: sensor=IPS_OBCUacActL3, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.796] [MM2-PEND] has_pending: sensor=Mib0_Cell_4, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.796] [MM2-PEND] has_pending: sib4_Cell_8, src=CAN_DEV, pending_count=0, result=FALSE
[00:13.797] [MM2-PEND] has_pendinault, src=CAN_DEV, pending_couc=CAN_DEV, pending_count=0, re [MM2-PEND] has_pending: sensot=FALSE
[00:12:13.797] [MM2-[MM2-PEND] has_pending: sensorA_SwVerMinor, src=CAN_DEV, pennt=0, result=FALSE
[00:12:13[MM2-PEND] has_pending: sensoras_pending: sensor=SFP203_tempN_DEV, pending_count=0, result[00:12:13.797] [MM2-PEND] has_arging_high, src=CAN_DEV, pend00:12:14.129] [MM2-PEND] has_pccA_Ch6FaultCount, src=CAN_DEVult=FALSE
[00:12:14.129] [MMs_pending: sensor=Mib4_Cell_5,src=CAN_DEV, pending_count=0, SE
[00:12:14.130] [MM2-PEND]rc=CAN_DEV, pending_count=0, rE
[00:12:14.130] [MM2-PEND] _Fault, src=CAN_DEV, pending_cFALSE
[00:12:14.130] [MM2-PE4.130] [MM2-PEND] has_pending:invPwrStgUlimDerEndThr_degC, s result=FALSE
[00:12:14.130]END] has_pending: sensor=HV_PTC_On_Rq, src=CAN_DEV, pending_sult=FALSE
[00:12:14.130] [M: sensor=IsolationCapHi_Fault,PEND] has_pending: sensor=Apteus_ID, src=CAN_DEV, pending_co131] [MM2-PEND] has_pending: sND] has_pending: sensor=Mib1_C_count=0, result=FALSE
[00:12-PEND] has_pending: sensor=Sct, src=CAN_DEV, pending_count=stributionModeReq, src=CAN_DEVpending_count=0, result=FALSED] has_pending: sensor=is_Mainsrc=CAN_DEV, pending_count=0, nsor=SIM100_HighBattery_VoltagDEV, pending_count=0, result=FALSE
[00:12:14.131] [MM2-PENending_count=0, result=FALSE00:12:14.132] [MM2-PEND] has_pending: sensor=Mib1_Cell_9, srE
[00:12:14.132] [MM2-PEND] : sensor=SolPos_SolNeg, src=CA0, result=FALSE
[00:12:14.13 sensor=Mib0_Cell_10, src=CAN_ctL3, src=CAN_DEV, pending_cou=CAN_DEV, pending_count=0, res0:12:14.132] [MM2-PEND] has_peg: sensor=Temp_DCFC_P, src=CANcount=0, result=FALSE
[00:12result=FALSE
[00:12:14.132] Main_N_Fault, src=CAN_DEV, pen=SccA_bmsVBattOutDec, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:14.133] [MM2-PEND] has_pending: sensor=IPS_DCDas_pending: sensor=SccA_Stringc=CAN_DEV, pending_count=0, re14.133] [MM2-PEND] has_pending: sensor=Mib4_Cell_8, src=CAN_lt=FALSE
[00:12:14.466] [MM2sensor=Notused2, src=CAN_DEV, pending_count=0, result=FALSEALSE
[00:12:14.466] [MM2-PENhas_pending: sensor=Mib4_Cell_10, src=CAN_DEV, pending_countib5_Cell_8, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:14.466] [MM2-PEND] has_pening: sensor=Mib3_Cell_6, src=C: sensor=SccA_Ch7FaultCount, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:14.466] [ing_count=0, result=FALSE
[00:12:14.467] [MM2-PEND] has_pending: sensor=SccA_OutputOverCurrentFault, src=CAN_DEV, pendding: sensor=VCU_IPS_Wakeup_out, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:14.46, result=FALSE
[00:12:14.467M2-PEND] has_pending: sensor=UI_HVAC_BlowerSegmentReq, src=CAN_DEV, pending_count=0, resulnabled, src=CAN_DEV, pending_cesult=FALSE
[00:12:14.467] [PEND] has_pending: sensor=Mib0_8, src=CAN_DEV, pending_countAN_DEV, pending_count=0, result=FALSE
[00:12:14.467] [MM2-PEND] has_pending: sensor=Cellult, src=CAN_DEV, pending_counLSE
[00:12:14.468] [MM2-PEND sensor=Notused1, src=CAN_DEV, pending_count=0, result=FALSEending_count=0, result=FALSE68] [MM2-PEND] has_pending: sec=CAN_DEV, pending_count=0, re12:14.468] [MM2-PEND] has_pend0:12:14.469] [MM2-PEND] has_pesrc=CAN_DEV, pending_count=0, SE
[00:12:14.469] [MM2-PEND] has_pending: sensor=SccA_Chrgnt=0, result=FALSE
[00:12:14as_pending: sensor=reqDrv_st, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:14.469] ending_count=0, result=FALSEending: sensor=M1Therm0DegC, s469] [MM2-PEND] has_pending: s2:14.469] [MM2-PEND] has_pendig: sensor=ChargePos, src=CAN_Dng_count=0, result=FALSE
[00:12:14.469] [MM2-PEND] has_pen] [MM2-PEND] has_pending: sens result=FALSE
[00:12:14.472]sensor=UI_LowBeamReq, src=CAN_, src=CAN_DEV, pending_count=0
[00:12:14.472] [MM2-PEND] hasunt=0, result=FALSE
[00:12:1-PEND] has_pending: sensor=HVIsor=CurrShuntInitializationFauount=0, result=FALSE
[00:12:-PEND] has_pending: sensor=Hvsending: sensor=Mib0_Cell_7, srding_count=0, result=FALSE
[12:14.812] [MM2-PEND] has_pend=SccA_String4En, src=CAN_DEV, END] has_pending: sensor=M0Therm0DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:14.812] [MM2-PEND] has_pendinlt=FALSE
[00:12:14.812] [MM2-PEND] has_pending: sensor=M5Therm2DegC, src=CAN_DEV, pendin4.813] [MM2-PEND] has_pending:degC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:14.813] [MM2-PEND] has_pending: p, src=CAN_DEV, pending_count=2-PEND] has_pending: sensor=HVTC_Off_ShortCurr, src=CAN_DEV, pending_count=0, result=FALSEhas_pending: sensor=drvStAckNa pending_count=0, result=FALSE.813] [MM2-PEND] has_pending: g_count=0, result=FALSE
[00:ND] has_pending: sensor=SFP203c=CAN_DEV, pending_count=0, result=FALSE
[00:12:14.813] [MState1, src=CAN_DEV, pending_c
[00:12:14.813] [MM2-PEND] h_pending: sensor=SIM100_High_U[MM2-PEND] has_pending: sensorLvAct, src=CAN_DEV, pending_co, result=FALSE
[00:12:14.814ND] has_pending: sensor=Mib0_C4] [MM2-PEND] has_pending: senEV, pending_count=0, result=FALSE
[00:12:14.814] [MM2-PEND_pending: sensor=Notused1, srcnt=0, result=FALSE
[00:12:14MM2-PEND] has_pending: sensor=b5_Cell_13, src=CAN_DEV, pendiin_N_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00[MM2-PEND] has_pending: sensor, pending_count=0, result=FALS00:12:14.814] [MM2-PEND] has_p_Fault, src=CAN_DEV, pending_cLSE
[00:12:14.814] [MM2-PENDt=0, result=FALSE
[00:12:14.pending: sensor=Mib2_Cell_3, sc=CAN_DEV, pending_count=0, result=FALSE
[00:12:14.815] [M, result=FALSE
[00:12:14.815or=PwrtPump_PumpInputVolt, src12:14.816] [MM2-PEND] has_pend=SccA_String2En, src=CAN_DEV, g: sensor=M2Therm1DegC, src=CAending_count=0, result=FALSE[MM2-PEND] has_pending: sensor [MM2-PEND] has_pending: sensoN_DEV, pending_count=0, result=FALSE
[00:12:14.816] [MM2-PEND] has_pending: sensor=SccA_lt=FALSE
[00:12:14.817] [MM2ding: sensor=M2Therm2DegC, src=CAN_DEV, pending_count=0, res=mux, src=CAN_DEV, pending_cou] [MM2-PEND] has_pending: sensPS_DCDCCurrHvAct, src=CAN_DEV, pending_count=0, result=FALSEg: sensor=SccA_String1Voltage, src=CAN_DEV, pending_count=0,lt=FALSE
[00:12:14.817] [MM2h, src=CAN_DEV, pending_count=149] [MM2-PEND] has_pending: s_P_Drive_On, src=CAN_DEV, pending_count=0, result=FALSE
[0nding: sensor=mux_isolation, s_DEV, pending_count=0, result=FALSE
[00:12:15.149] [MM2-PEultCount, src=CAN_DEV, pending, result=FALSE
[00:12:15.149sor=bpp_pct, src=CAN_DEV, pending_count=0, result=FALSE
[0sult=FALSE
[00:12:15.149] [Mnding: sensor=SccA_String2En, ending_count=0, result=FALSE2:15.150] [MM2-PEND] has_pendiMM2-PEND] has_pending: sensor=gnd1, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15 src=CAN_DEV, pending_count=0,result=FALSE
[00:12:15.150] [MM2-PEND] has_pending: sensor=IPS_DCDCState3, src=CAN_DEV, SE
[00:12:15.150] [MM2-PEND] has_pending: sensor=HVIL_2_Fault, src=CAN_DEV, pending_coun2:15.150] [MM2-PEND] has_pending: sensor=KL15Voltage, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.150] [MM2-PEND] has_pending: sensor=SIM100_electrical_isolation, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.150] [MM2-Pn, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.150] [MM2-PEND] has_pending: senrc=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.150] [MM2-PEND] has_pending: sensor=SccA_ChrgCtrlIsPrechargeComple=FALSE
[00:12:15.151] [MM2-Ps_pending: sensor=Mib2_Cell_4,ding_count=0, result=FALSE
[g: sensor=SIM100_Hardware_Error, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.151] [MM2-PEND] has_pending: senor=SFP203_CC_charging_low, srcAN_DEV, pending_count=0, resul=FALSE
[00:12:15.151] [MM2-P151] [MM2-PEND] has_pending: snsor=M2Therm3DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.151] [MM2-PEND] =FALSE
[00:12:15.151] [MM2-Pnding: sensor=IsolationProtocorc=CAN_DEV, pending_count=0, rult=FALSE
[00:12:15.151] [MMt=0, result=FALSE
[00:12:15.151] [MM2-PEND] has_pending: sensor=is_Crashed, src=CAN_DEV,esult=FALSE
[00:12:15.151] [Cell_015, src=CAN_DEV, pending
[00:12:15.151] [MM2-PEND] has_pending: sensor=Mib3_Cell_1M2-PEND] has_pending: sensor=M0Therm2DegC, src=CAN_DEV, pending_count=0, result=FALSE
[0ensor=SccA_isString1Enabled, src=CAN_DEV, pending_count=0, rlt=FALSE
[00:12:15.152] [MM2DEV, pending_count=0, result=FLSE
[00:12:15.152] [MM2-PEND] has_pending: sensor=MinThermDegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15as_pending: sensor=instChgLim_, src=CAN_DEV, pending_count=0=FALSE
[00:12:15.152] [MM2-P=0, result=FALSE
[00:12:15.1as_pending: sensor=Mib3_Cell_0AN_DEV, pending_count=0, result=FALSE
[00:12:15.152] [MM2-PEND] has_pending: sensor=SIM100_Cn, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.152] [MM2-PEND] has_pending:chgLim_cur, src=CAN_DEV, pendiunt=0, result=FALSE
[00:12:15.485] [MM2-PEND] has_pending:_isolation_un, src=CAN_DEV, pe result=FALSE
[00:12:15.486]c=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.486] [MIS_NEG_CONTACTOR_CLOSED_OUT, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.486] [has_pending: sensor=HVIL_CMP_Fding_count=0, result=FALSE
[5.486] [MM2-PEND] has_pending:AN_DEV, pending_count=0, result=FALSE
[00:12:15.486] [MM2-PEND] has_pending: sensor=IPS_OBCState5, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.486] [MM2-PEND] has_pend sensor=MaxThermDegC, src=CAN_DEV, pending_count=0, result=F[00:12:15.486] [MM2-PEND] has_sor=Hvsense_MAINPOS_MAINNEG_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.487] [MM2-PEND] has_pending: sensor=Mib2_Cell_5, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:15.487] [MM2-PEND] has_pending: sensor=Mib0_Cell_12, src=CAN_DEV, pending_count=0, result=FALSE
